mode,load,0_vgg16-2,1_mobilenet_v3_large-16,2_resnet18-2
ts,0.1,6.370067596435548,15.367841720581067,7.272481918334961
ts,0.2,4.383516311645509,18.69158744812012,8.680248260498049
ts,0.3,5.087113380432129,17.369532585144054,7.214117050170899
ts,0.4,6.156492233276371,15.926837921142578,9.392595291137695
ts,0.5,8.114671707153326,16.818642616271973,9.876132011413574
ts,0.6,12.122869491577145,24.56986904144287,16.72220230102539
ts,0.7,30.318307876586914,61.24596595764159,211.45482063293454
ts,0.8,2742.983102798462,8537.346529960632,26112.149691581726
ts,0.9,15648.153829574587,16949.989414215088,34975.220346450806
ts,1.0,24711.678123474117,28143.42393875122,44351.566219329834
ts,1.1,32892.72785186768,37071.76384925842,49803.849506378174
ts,1.2,36446.47173881531,40451.24864578247,52239.4823551178
ts,1.3,41926.23734474182,46060.47711372376,57565.95301628113
ts,1.4,48515.13776779175,50646.373510360725,61817.40093231201
ts,1.5,52536.825704574585,56104.94604110718,65594.52245235445
mps-uncap,0.1,4.506349563598633,15.298151969909668,6.309795379638671
mps-uncap,0.2,4.262304306030273,17.03166961669922,8.119249343872074
mps-uncap,0.3,4.359006881713867,18.33114624023438,8.470535278320312
mps-uncap,0.4,4.807710647583011,16.548752784729004,8.004093170166017
mps-uncap,0.5,5.587267875671386,13.574290275573732,7.856988906860355
mps-uncap,0.6,6.701946258544922,13.943672180175781,6.728076934814457
mps-uncap,0.7,8.100438117980957,15.789699554443363,7.182788848876954
mps-uncap,0.8,12.457990646362324,19.13952827453613,12.530851364135742
mps-uncap,0.9,25.282835960388194,38.52701187133789,18.09482574462891
mps-uncap,1.0,148.3262538909912,212.25295066833496,80.15561103820804
mps-uncap,1.1,10260.787916183473,10352.821588516235,10360.798931121826
mps-uncap,1.2,18922.078132629395,18483.11698436737,17639.578580856323
mps-uncap,1.3,30039.465570449833,38871.201276779175,23048.98636341096
mps-uncap,1.4,31080.42335510254,31667.753982543945,35091.760754585266
mps-uncap,1.5,36465.83261489868,36415.35897254943,37383.53700637818
mig,0.1,5.158758163452148,12.516975402832031,4.446506500244141
mig,0.2,6.941509246826172,13.406610488891602,6.122040748596192
mig,0.3,7.78961181640625,16.131687164306644,5.808663368225099
mig,0.4,9.298229217529299,19.283914566040036,8.515000343322754
mig,0.5,11.538028717041017,23.329353332519542,6.3014984130859375
mig,0.6,14.86449241638184,35.48588752746582,5.99198341369629
mig,0.7,21.86264991760254,63.308334350586016,5.633449554443359
mig,0.8,72.03116416931154,304.784107208252,6.634664535522461
mig,0.9,4942.346811294556,8418.61662864685,8.197259902954102
mig,1.0,15707.475280761717,18023.445892333984,9.493255615234377
mig,1.1,25300.221586227417,27771.18809223175,12.989997863769531
mig,1.2,32020.26524543763,33546.49019241333,38.47737312316896
mig,1.3,37368.19384098053,38851.87232494354,427.6379585266113
mig,1.4,42782.09187984467,43464.690017700195,6778.777837753296
mig,1.5,46048.41730594635,48220.500230789185,12159.454131126404
