mode,load,0_alexnet-16,1_densenet169-2,2_vgg16-32
mps-uncap,0.8,5.488395690917969,51.81419849395752,22.699832916259766
mps-uncap,0.9,6.15382194519043,62.023162841796875,23.189544677734375
mps-uncap,1.0,6.712913513183594,71.49958610534668,23.773670196533203
mps-uncap,0.5,2.748250961303711,21.198034286499023,21.152615547180176
mps-uncap,0.6,3.177165985107422,28.762459754943848,21.76082134246826
mps-uncap,0.7,4.715204238891602,49.558401107788086,22.230029106140137
mps-uncap,0.1,2.7806758880615234,31.27455711364746,22.087574005126953
mps-uncap,0.2,2.752542495727539,27.07958221435547,21.931052207946777
mps-uncap,0.3,2.7742385864257812,21.11363410949707,21.11053466796875
mps-uncap,0.4,2.7594566345214844,22.011280059814453,20.891904830932617
