mode,load,0_alexnet-16,1_efficientnet_b5-4,2_mobilenet_v3_large-8
mps-uncap,0.8,3.2629966735839844,17.419815063476562,6.006717681884766
mps-uncap,0.9,2.99072265625,18.65100860595703,6.623268127441406
mps-uncap,1.0,3.416776657104492,17.93646812438965,6.515741348266602
mps-uncap,0.5,2.767801284790039,22.015094757080078,7.8372955322265625
mps-uncap,0.6,3.026247024536133,18.6917781829834,7.546424865722656
mps-uncap,0.7,2.7675628662109375,18.400907516479492,7.082223892211914
mps-uncap,0.1,2.1207332611083984,23.362398147583008,9.209394454956055
mps-uncap,0.2,2.2552013397216797,24.025678634643555,9.714841842651367
mps-uncap,0.3,2.227306365966797,23.732662200927734,8.89277458190918
mps-uncap,0.4,2.3927688598632812,22.663354873657227,7.792234420776367
