mode,load,0_alexnet-32,1_efficientnet_b5-16,2_vgg16-8
mps-uncap,0.6,5.977630615234375,33.71872901916504,9.77568626403809
mig,0.6,6.306743621826174,54.646921157836914,20.013856887817383
mps-uncap,0.7,5.891776084899902,38.111400604248054,10.145044326782227
mig,0.7,5.458378791809082,54.49559688568115,19.999313354492188
mps-uncap,0.8,6.17208480834961,40.61281681060791,10.65969467163086
mig,0.8,5.418300628662109,54.315900802612305,20.00582218170166
mps-uncap,0.9,6.151008605957031,45.15900611877442,11.000394821166992
mig,0.9,5.434513092041016,54.56504821777344,20.029544830322266
mps-uncap,1.0,6.395816802978516,52.12137699127199,11.362123489379885
mig,1.0,5.460548400878906,54.7454833984375,20.122694969177246
mps-uncap,1.1,6.911897659301759,53.35111618041992,11.609029769897461
mig,1.1,5.457162857055664,54.83067035675049,20.13676166534424
mps-uncap,1.2,7.162523269653321,55.78136444091797,11.843681335449219
mig,1.2,5.460143089294434,54.842162132263184,20.10049819946289
mps-uncap,1.3,7.296133041381836,56.63418769836426,11.897468566894531
mig,1.3,5.439281463623047,54.90546226501465,20.106792449951172
