mode,load,0_alexnet-16,1_inception_v3-2,2_squeezenet1_1-16
mps-uncap,0.8,1.6353130340576172,8.58449935913086,2.2933483123779297
mps-uncap,0.9,1.7240047454833984,8.722782135009766,2.444028854370117
mps-uncap,1.0,1.6698837280273438,10.21718978881836,3.3273696899414062
mps-uncap,0.5,1.6176700592041016,8.56471061706543,2.290487289428711
mps-uncap,0.6,1.634359359741211,8.568525314331055,2.2902488708496094
mps-uncap,0.7,1.6410350799560547,8.612632751464844,2.291440963745117
mps-uncap,0.1,1.6391277313232422,8.655786514282227,2.4423599243164062
mps-uncap,0.2,1.6269683837890625,8.54182243347168,2.302408218383789
mps-uncap,0.3,1.6217231750488281,8.488655090332031,2.3016929626464844
mps-uncap,0.4,1.5857219696044922,8.542299270629883,2.3164749145507812
