mode,load,0_alexnet-32,1_inception_v3-2,2_vgg11-32
mps-uncap,0.8,15.276412963867188,50.684616565704346,17.033100128173828
mps-uncap,0.9,14.688968658447267,50.60656547546386,16.67243719100953
mps-uncap,1.0,13.014774322509766,42.968857288360596,14.781746864318848
mps-uncap,0.5,14.835786819457988,35.06581783294677,17.131233215332028
mps-uncap,0.6,14.81153011322022,37.582168579101584,17.1793270111084
mps-uncap,0.7,15.179095268249512,40.49960851669311,17.032809257507324
mps-uncap,0.1,15.099334716796882,25.368943214416507,18.955893516540527
mps-uncap,0.2,15.25930404663086,27.973966598510742,17.085990905761722
mps-uncap,0.3,14.850988388061516,27.926888465881348,17.00028896331787
mps-uncap,0.4,14.661693572998056,30.673573017120344,16.927926540374756
