mode,load,0_alexnet-8,1_mobilenet_v2-16,2_mobilenet_v3_small-2
mps-uncap,0.8,1.3437271118164062,4.268884658813477,3.0139684677124023
mps-uncap,0.9,1.4126300811767578,4.68897819519043,3.2345056533813477
mps-uncap,1.0,1.4138221740722656,4.826068878173828,3.911733627319336
mps-uncap,0.5,1.2507438659667969,4.520177841186523,3.953695297241211
mps-uncap,0.6,1.2679100036621094,4.115581512451172,3.73232364654541
mps-uncap,0.7,1.3079643249511719,4.19306755065918,3.0329227447509766
mps-uncap,0.1,1.2943744659423828,5.631685256958008,5.810976028442383
mps-uncap,0.2,1.298666000366211,5.779027938842773,5.850791931152344
mps-uncap,0.3,1.2917518615722656,5.8296918869018555,5.640983581542969
mps-uncap,0.4,1.2830495834350586,5.413174629211426,4.34422492980957
