mode,load,0_alexnet-4,1_mobilenet_v3_large-8,2_squeezenet1_1-2
mps-uncap,0.8,1.9282746315002435,5.384731292724609,2.947740554809569
mps-uncap,0.9,1.6871500015258785,5.313732624053954,2.8204917907714844
mps-uncap,1.0,1.3719105720520017,5.134322643280028,2.1787238121032724
mps-uncap,0.5,2.3223519325256343,5.826969146728516,3.1417179107666033
mps-uncap,0.6,2.3656845092773353,5.6473541259765625,2.835843563079835
mps-uncap,0.7,2.342767715454101,5.555911064147949,2.834231853485108
mps-uncap,0.1,2.04002380371094,12.19827651977539,4.290351867675781
mps-uncap,0.2,2.2457027435302743,11.513898372650146,4.093198776245111
mps-uncap,0.3,2.2082114219665536,8.861911296844488,3.8004398345947243
mps-uncap,0.4,2.4688243865966797,6.78781509399414,3.088240623474121
