mode,load,0_alexnet-8,1_mobilenet_v3_large-8,2_vgg16-2
mps-uncap,0.8,3275.5211471510197,1142.8210507466924,416.3253143686181
mps-uncap,0.9,3724.7188545026743,1288.3744837146708,476.4945746748085
mps-uncap,1.0,4168.652817694071,1424.9789373206108,528.0304305769267
mps-uncap,0.5,2030.4357787496124,694.9808292608204,261.0373661541957
mps-uncap,0.6,2413.6217016062997,846.1574187140326,313.8762451463221
mps-uncap,0.7,2841.4424877901824,977.7609593191769,363.81060413959017
mps-uncap,0.1,419.26098075068194,136.40251645855696,55.56577494739432
mps-uncap,0.2,818.8060561579113,275.68137405705096,106.38704234796941
mps-uncap,0.3,1238.5062596847692,422.2979300252672,158.9651853119435
mps-uncap,0.4,1606.3979337685503,550.4560556207274,211.4871886433282
