mode,load,0_densenet121-4,1_densenet169-4,2_vgg11-4
mps-uncap,0.8,52.44076013565061,78.1774759292602,17.472205162048343
mps-uncap,0.9,101.90583705902097,126.97861671447735,44.13323402404785
mps-uncap,1.0,303.83592844009405,492.7651596069336,151.2489509582518
mps-uncap,0.5,33.53224992752075,43.5999870300293,8.10992002487184
mps-uncap,0.6,34.46320295333863,48.19827318191528,10.131812095642093
mps-uncap,0.7,40.532264709472656,48.41682434082031,11.720907688140866
mps-uncap,0.1,29.99125719070435,43.356800079345696,3.6408376693725644
mps-uncap,0.2,35.039732456207275,42.93514490127564,4.491157531738287
mps-uncap,0.3,32.760918140411384,39.393067359924295,5.400123596191407
mps-uncap,0.4,32.89047718048094,38.99632453918456,6.4274358749389675
