mode,load,0_densenet121-16,1_densenet201-4,2_efficientnet_b6-32
mps-uncap,0.8,418.33281851586156,65.0269774757536,516.4643175983455
mps-uncap,0.9,472.6142845104514,67.23615799241355,558.6236589144634
mps-uncap,1.0,431.22743520593946,68.41648695556768,633.005459554588
mps-uncap,0.5,277.52707046408614,40.72228731147241,324.78229935202967
mps-uncap,0.6,314.8520633575974,46.92144100906472,398.218903030041
mps-uncap,0.7,391.1085521572933,51.500262933207104,440.2738195020709
mps-uncap,0.1,50.385276829024896,6.796517105779817,71.07641792680819
mps-uncap,0.2,96.04143592603026,15.45084382076789,141.00495147834357
mps-uncap,0.3,169.48352582339825,22.97555729027084,193.1557665017376
mps-uncap,0.4,223.33829882939628,29.370024043929035,272.1520267149847
