mode,load,0_densenet121-4,1_efficientnet_b6-4,2_mobilenet_v3_large-32
mps-uncap,0.8,108.08897018432617,175.83775520324707,76.83968544006348
mps-uncap,0.9,230.926513671875,202.76713371276855,96.70114517211914
mps-uncap,1.0,4454.375267028809,827.8908729553223,253.06272506713867
mps-uncap,0.5,48.95496368408203,38.810014724731445,35.16983985900879
mps-uncap,0.6,54.605722427368164,60.84799766540527,34.52420234680176
mps-uncap,0.7,63.530683517456055,91.16482734680176,67.5499439239502
mps-uncap,0.1,28.66506576538086,21.157026290893555,14.280557632446289
mps-uncap,0.2,36.59510612487793,48.96688461303711,23.457765579223633
mps-uncap,0.3,41.88871383666992,47.052621841430664,22.527694702148438
mps-uncap,0.4,42.24658012390137,42.00625419616699,31.88776969909668
