mode,load,0_densenet121-32,1_efficientnet_b6-32,2_resnet152-4
mps-uncap,0.6,0.011920928955078125,0.017881393432617188,0.014066696166992188
mig,0.6,0.01239776611328125,0.014781951904296875,0.013589859008789062
mps-uncap,0.7,0.01430511474609375,0.015497207641601562,0.013828277587890625
mig,0.7,0.014066696166992188,0.015020370483398438,0.013828277587890625
mps-uncap,0.8,0.014066696166992188,0.015020370483398438,0.028848648071289062
mig,0.8,0.014543533325195312,0.013589859008789062,0.013589859008789062
mps-uncap,0.9,0.014543533325195312,0.015020370483398438,0.025510787963867188
mig,0.9,0.01239776611328125,0.014781951904296875,0.011682510375976562
mps-uncap,1.0,0.013828277587890625,0.014781951904296875,0.03504753112792969
mig,1.0,0.014066696166992188,0.019311904907226562,0.013589859008789062
mps-uncap,1.1,0.014543533325195312,0.01430511474609375,0.05245208740234375
mig,1.1,0.016689300537109375,0.02765655517578125,0.0171661376953125
mps-uncap,1.2,0.041961669921875,0.0152587890625,0.031232833862304688
mig,1.2,0.04076957702636719,0.02002716064453125,0.015020370483398438
mps-uncap,1.3,0.017642974853515625,0.014781951904296875,0.03719329833984375
mig,1.3,0.018835067749023438,0.020265579223632812,0.02384185791015625
