mode,load,0_densenet121-2,1_inception_v3-16,2_vgg19-4
mps-uncap,0.8,13.118505477905273,15.282869338989258,7.018923759460449
mps-uncap,0.9,20.032167434692383,22.390365600585938,12.985467910766602
mps-uncap,1.0,41.458845138549805,120.82147598266602,91.51065349578857
mps-uncap,0.5,12.675046920776367,12.00413703918457,4.170536994934082
mps-uncap,0.6,12.23909854888916,11.980295181274414,4.724264144897461
mps-uncap,0.7,12.206077575683594,12.825727462768555,5.490779876708984
mps-uncap,0.1,17.16899871826172,12.49539852142334,3.5440921783447266
mps-uncap,0.2,16.54791831970215,12.119770050048828,3.5163164138793945
mps-uncap,0.3,15.974760055541992,12.64047622680664,3.65447998046875
mps-uncap,0.4,13.168573379516602,12.468099594116211,3.9070844650268555
