mode,load,0_densenet121-2,1_mobilenet_v3_small-32,2_squeezenet1_0-4
mps-uncap,0.8,20.658016204833984,17.018795013427734,15.130996704101562
mps-uncap,0.9,22.434234619140625,13.347148895263672,16.27063751220703
mps-uncap,1.0,23.81300926208496,15.037059783935547,13.622283935546875
mps-uncap,0.5,17.313480377197266,15.426874160766602,11.812686920166016
mps-uncap,0.6,15.098094940185547,12.505292892456055,11.060953140258789
mps-uncap,0.7,17.946481704711914,12.348175048828125,11.985063552856445
mps-uncap,0.1,29.05893325805664,11.215925216674805,6.736993789672852
mps-uncap,0.2,23.9717960357666,12.146711349487305,11.159896850585938
mps-uncap,0.3,22.129535675048828,16.579151153564453,6.9408416748046875
mps-uncap,0.4,17.607688903808594,17.170429229736328,12.14456558227539
