mode,load,0_densenet121-32,1_mobilenet_v3_small-16,2_vgg19-8
mps-uncap,0.6,50.09174346923828,18.590450286865234,17.641544342041016
mig,0.6,38.16628456115723,9.284496307373047,25.919437408447266
mps-uncap,0.7,45.90106010437012,21.979093551635742,18.320083618164062
mig,0.7,37.177324295043945,11.421680450439453,29.546737670898438
mps-uncap,0.8,45.96877098083496,21.896839141845703,18.38397979736328
mig,0.8,37.859439849853516,19.585371017456055,33.53738784790039
mps-uncap,0.9,49.56340789794922,20.584821701049805,17.682313919067383
mig,0.9,46.036481857299805,18.965959548950195,32.328128814697266
mps-uncap,1.0,46.8897819519043,22.95708656311035,20.268917083740234
mig,1.0,39.60680961608887,10.473489761352539,27.785778045654297
mps-uncap,1.1,48.1562614440918,22.258520126342773,18.60332489013672
mig,1.1,38.94305229187012,12.740612030029297,26.213645935058594
mps-uncap,1.2,48.203229904174805,22.741317749023438,18.532752990722656
mig,1.2,40.3594970703125,11.348724365234375,26.299476623535156
mps-uncap,1.3,47.20163345336914,22.63784408569336,17.447233200073242
mig,1.3,49.66139793395996,19.63186264038086,31.848430633544922
