mode,load,0_densenet121-4,1_resnet101-32,2_resnet34-8
mps-uncap,0.8,15.222549438476562,21.735310554504395,6.959438323974609
mps-uncap,0.9,19.797563552856445,23.012161254882812,7.277488708496094
mps-uncap,1.0,20.944595336914062,23.796916007995605,7.740497589111328
mps-uncap,0.5,13.195991516113281,19.62757110595703,4.781484603881836
mps-uncap,0.6,12.799263000488281,20.48969268798828,4.972219467163086
mps-uncap,0.7,14.272332191467285,20.91240882873535,6.270885467529297
mps-uncap,0.1,17.12167263031006,17.965078353881836,5.112648010253906
mps-uncap,0.2,16.653895378112793,18.40066909790039,4.899740219116211
mps-uncap,0.3,16.27492904663086,19.00625228881836,4.98652458190918
mps-uncap,0.4,13.660073280334473,19.155144691467285,4.875659942626953
