mode,load,0_densenet121-4,1_squeezenet1_0-32,2_vgg13-32
mps-uncap,0.8,79.94985580444336,34.369468688964844,33.30421447753906
mps-uncap,0.9,83.47439765930176,29.003381729125977,27.111053466796875
mps-uncap,1.0,84.82074737548828,31.36301040649414,31.105995178222656
mps-uncap,0.5,68.43090057373047,29.43277359008789,29.815673828125
mps-uncap,0.6,79.37216758728027,30.6241512298584,26.124238967895508
mps-uncap,0.7,74.18990135192871,27.86874771118164,26.888370513916016
mps-uncap,0.1,36.72218322753906,33.66351127624512,33.34164619445801
mps-uncap,0.2,48.20966720581055,26.987552642822266,27.086257934570312
mps-uncap,0.3,59.0975284576416,27.69303321838379,25.762319564819336
mps-uncap,0.4,52.829742431640625,29.742956161499023,26.447057723999023
