mode,load,0_densenet161-32,1_densenet169-16,2_efficientnet_b5-2
mps-uncap,0.8,32.880306243896484,17.089366912841797,15.022516250610352
mps-uncap,0.9,33.7221622467041,17.825841903686523,15.075445175170898
mps-uncap,1.0,36.498069763183594,16.796112060546875,15.03300666809082
mps-uncap,0.5,32.52720832824707,16.887426376342773,14.881372451782227
mps-uncap,0.6,32.593727111816406,17.074108123779297,15.000581741333008
mps-uncap,0.7,32.4859619140625,16.923904418945312,14.844894409179688
mps-uncap,0.1,32.60064125061035,17.538070678710938,14.961004257202148
mps-uncap,0.2,32.39297866821289,17.09747314453125,14.954566955566406
mps-uncap,0.3,32.436370849609375,16.78466796875,14.939546585083008
mps-uncap,0.4,32.44352340698242,16.872167587280273,15.067100524902344
