mode,load,0_densenet161-8,1_densenet169-4,2_efficientnet_b6-8
mps-uncap,0.8,19.45786476135254,19.240117073059082,20.185565948486328
mps-uncap,0.9,20.61152458190918,18.25418472290039,20.32923698425293
mps-uncap,1.0,21.373748779296875,19.83494758605957,19.57533359527588
mps-uncap,0.5,18.726158142089844,18.042802810668945,18.881702423095703
mps-uncap,0.6,19.89922523498535,18.52583885192871,18.523192405700687
mps-uncap,0.7,19.995784759521488,17.534613609313965,19.776105880737305
mps-uncap,0.1,24.376535415649414,24.814605712890625,25.48689842224121
mps-uncap,0.2,25.621891021728516,24.614381790161133,24.299836158752445
mps-uncap,0.3,22.626113891601562,18.87531280517578,19.152736663818363
mps-uncap,0.4,18.70594024658203,18.20497512817383,18.691062927246094
