mode,load,0_densenet161-8,1_densenet201-16,2_densenet201-2
mps-uncap,0.8,20.765554904937744,25.680150985717773,23.07788372039795
mps-uncap,0.9,20.07051944732666,26.942527294158936,23.51994514465332
mps-uncap,1.0,20.955801010131836,27.172322273254395,21.642618179321282
mps-uncap,0.5,20.396671295166016,25.9257984161377,22.504706382751465
mps-uncap,0.6,20.41055679321289,25.238795280456547,23.083362579345703
mps-uncap,0.7,20.565438270568848,25.327222347259518,22.794067859649658
mps-uncap,0.1,27.98022031784055,33.239121437072754,32.58460760116577
mps-uncap,0.2,26.211082935333252,30.79627275466919,32.3282265663147
mps-uncap,0.3,24.55575466156006,30.396103858947754,28.67165803909302
mps-uncap,0.4,23.749706745147694,25.630741119384762,22.181243896484375
