mode,load,0_densenet161-8,1_densenet201-16,2_densenet201-2
mps-uncap,0.8,10.571956634521484,15.850305557250977,11.923551559448242
mps-uncap,0.9,10.529279708862305,15.887022018432617,12.130022048950195
mps-uncap,1.0,20.390748977661133,24.391889572143555,13.516902923583984
mps-uncap,0.5,10.557413101196289,15.82479476928711,12.374401092529297
mps-uncap,0.6,10.606527328491211,15.851259231567383,11.691093444824219
mps-uncap,0.7,10.62464714050293,15.75016975402832,11.975526809692383
mps-uncap,0.1,10.574817657470703,15.73634147644043,12.127876281738281
mps-uncap,0.2,10.582685470581055,15.770912170410156,12.119770050048828
mps-uncap,0.3,10.54072380065918,15.854120254516602,12.233257293701172
mps-uncap,0.4,10.534524917602539,15.855789184570312,11.963844299316406
