mode,load,0_densenet161-16,1_densenet201-4,2_vgg13-4
mps-uncap,0.8,37.40215301513672,37.31575012207031,4.807567596435547
mps-uncap,0.9,38.65227699279785,36.185503005981445,5.3554534912109375
mps-uncap,1.0,39.34884071350098,40.00377655029297,5.634307861328126
mps-uncap,0.5,27.655982971191406,25.77643394470215,4.124641418457031
mps-uncap,0.6,31.725263595581055,28.112411499023438,4.372692108154297
mps-uncap,0.7,34.59811210632324,31.280326843261722,4.643869400024416
mps-uncap,0.1,24.565434455871582,29.09703254699707,2.7972698211669917
mps-uncap,0.2,24.34377670288086,29.508066177368164,3.155231475830078
mps-uncap,0.3,24.744510650634766,28.139114379882812,3.6124229431152344
mps-uncap,0.4,26.844239234924316,25.480985641479492,4.036569595336914
