mode,load,0_densenet161-8,1_efficientnet_b5-8,2_inception_v3-32
mps-uncap,0.8,26.86781883239746,22.635316848754883,18.36552619934082
mps-uncap,0.9,27.967357635498047,23.3004093170166,18.793535232543945
mps-uncap,1.0,28.946256637573242,24.353456497192383,19.309711456298828
mps-uncap,0.5,23.034334182739258,20.20442485809326,16.660141944885254
mps-uncap,0.6,22.85585403442383,21.12293243408203,17.93825626373291
mps-uncap,0.7,25.560379028320312,21.79243564605713,17.978191375732422
mps-uncap,0.1,24.087238311767578,22.081518173217773,13.001012802124025
mps-uncap,0.2,23.59566688537598,21.71158790588379,13.94188404083252
mps-uncap,0.3,23.086905479431152,21.124696731567386,14.642763137817383
mps-uncap,0.4,23.029613494873047,20.441293716430664,15.977907180786136
