mode,load,0_densenet161-32,1_efficientnet_b6-16,2_mobilenet_v2-16
mps-uncap,0.6,55.54032325744629,30.367136001586914,13.909721374511742
mig,0.6,124.76215362548827,130.03125190734863,21.842241287231445
mps-uncap,0.7,97.56774902343751,52.43277549743652,16.84055328369142
mig,0.7,175.86421966552734,262.0926856994629,32.424545288085945
mps-uncap,0.8,143.02592277526858,81.23214244842526,41.44222736358643
mig,0.8,229.3354034423828,352.9520511627197,57.155251502990716
mps-uncap,0.9,193.93169879913333,115.17298221588135,79.96006011962892
mig,0.9,720.1569080352783,691.3419008255005,96.40927314758302
mps-uncap,1.0,779.2150974273682,168.38140487670896,3066.7182445526123
mig,1.0,2323.741912841797,2939.6512508392334,623.1354475021362
mps-uncap,1.1,3646.6595888137826,566.5673732757568,16855.44323921204
mig,1.1,8988.94727230072,10626.82499885559,10312.889122962952
mps-uncap,1.2,11934.793949127197,1966.0025596618648,24972.76737689972
mig,1.2,16093.746948242188,13847.742819786072,13685.148620605469
mps-uncap,1.3,16214.904928207396,3596.9618082046504,30494.71497535706
mig,1.3,17845.388746261597,19375.95887184143,18192.642736434937
