mode,load,0_densenet161-16,1_mobilenet_v3_large-4,2_vgg19-8
mps-uncap,0.8,20.096778869628906,4.818439483642578,6.449222564697266
mps-uncap,0.9,20.22099494934082,4.790544509887695,6.520986557006836
mps-uncap,1.0,31.600475311279297,4.884004592895508,7.292509078979492
mps-uncap,0.5,19.39868927001953,4.787683486938477,6.451845169067383
mps-uncap,0.6,19.446372985839844,4.715204238891602,6.397485733032227
mps-uncap,0.7,19.38772201538086,4.730463027954102,6.509542465209961
mps-uncap,0.1,19.49596405029297,5.158424377441406,6.913661956787109
mps-uncap,0.2,19.461393356323242,4.868507385253906,6.893157958984375
mps-uncap,0.3,19.46282386779785,4.831790924072266,6.414890289306641
mps-uncap,0.4,19.429683685302734,4.757881164550781,6.408214569091797
