mode,load,0_densenet161-32,1_resnet18-32,2_resnet18-4
mps-uncap,0.8,461.69747267684824,2916.527275775171,487.4947729738797
mps-uncap,0.9,526.0510850233599,3190.18565202295,562.644740774686
mps-uncap,1.0,526.3055931989281,3169.472134941268,614.20855635698
mps-uncap,0.5,304.71919557615826,1795.420079556399,297.37584194670177
mps-uncap,0.6,361.60556679261146,2209.0680396859816,365.52309219356596
mps-uncap,0.7,411.481571588,2538.84516683673,427.14597614783094
mps-uncap,0.1,60.495260785059216,344.76132467916,60.07628773038501
mps-uncap,0.2,119.47603643359761,742.2153762722107,119.32309946270514
mps-uncap,0.3,188.92243477063062,1075.7338493699426,179.43648017295385
mps-uncap,0.4,248.09390938391624,1442.4677374839023,245.06443555890237
