mode,load,0_densenet169-16,1_densenet201-2,2_inception_v3-32
mps-uncap,0.8,12.124776840209961,12.167692184448242,10.42938232421875
mps-uncap,0.9,12.123584747314453,12.318611145019531,10.41269302368164
mps-uncap,1.0,19.163131713867188,13.921022415161133,10.457515716552734
mps-uncap,0.5,12.208938598632812,12.37940788269043,10.354280471801758
mps-uncap,0.6,12.124061584472656,12.696027755737305,10.350465774536133
mps-uncap,0.7,12.209892272949219,12.313127517700195,10.347843170166016
mps-uncap,0.1,12.264728546142578,12.484312057495117,10.360002517700195
mps-uncap,0.2,12.230396270751953,12.144088745117188,10.365962982177734
mps-uncap,0.3,12.243270874023438,12.147188186645508,10.370969772338867
mps-uncap,0.4,12.23611831665039,12.378931045532227,10.396480560302734
