mode,load,0_densenet169-2,1_efficientnet_b5-2,2_squeezenet1_0-2
mps-uncap,0.8,155.53970809244817,162.41327163573595,1309.245286510502
mps-uncap,0.9,177.1292816049712,185.13585903350855,1480.5815626515607
mps-uncap,1.0,193.6809998792281,202.61395660085378,1618.6740528132282
mps-uncap,0.5,95.86592259410763,102.21932467764766,825.7959235956699
mps-uncap,0.6,112.19782609830123,120.35015916430488,986.6423581766188
mps-uncap,0.7,131.34255369788505,142.4986047726663,1163.9820399646007
mps-uncap,0.1,19.639829398113168,20.877047033209575,169.3472978978408
mps-uncap,0.2,37.739951638968314,39.25195702336568,330.5937869638006
mps-uncap,0.3,58.61581224361458,59.69165457210318,506.55377581263673
mps-uncap,0.4,73.94483252220368,81.70672489616632,660.320563415142
