mode,load,0_densenet169-32,1_efficientnet_b7-16,2_resnet34-8
mps-uncap,0.8,41.89252853393555,43.54715347290039,8.261919021606445
mps-uncap,0.9,44.651031494140625,45.76826095581055,8.912205696105957
mps-uncap,1.0,46.974897384643555,49.43203926086426,9.717702865600586
mps-uncap,0.5,22.900104522705078,29.832124710083008,4.891395568847656
mps-uncap,0.6,24.52397346496582,34.31272506713867,5.359411239624023
mps-uncap,0.7,31.349658966064453,39.51740264892578,6.0100555419921875
mps-uncap,0.1,21.72112464904785,27.637600898742676,5.002021789550781
mps-uncap,0.2,21.741628646850586,27.570128440856934,4.853010177612305
mps-uncap,0.3,21.61538600921631,27.997255325317383,4.888057708740234
mps-uncap,0.4,22.110939025878906,29.476284980773926,4.964590072631836
