mode,load,0_densenet169-4,1_inception_v3-16,2_resnet152-32
mps-uncap,0.8,30.1511287689209,21.88849449157715,57.445526123046875
mps-uncap,0.9,50.28223991394043,31.987667083740234,90.24858474731445
mps-uncap,1.0,363.40558528900146,79.75900173187256,1007.8341960906982
mps-uncap,0.5,18.961429595947266,14.069080352783203,30.066490173339844
mps-uncap,0.6,21.002531051635742,15.873193740844727,32.52458572387695
mps-uncap,0.7,23.350834846496582,17.010807991027832,40.045738220214844
mps-uncap,0.1,24.08599853515625,12.097358703613281,24.988174438476562
mps-uncap,0.2,23.102402687072754,12.026786804199219,25.490283966064453
mps-uncap,0.3,18.5929536819458,12.234687805175781,27.269601821899414
mps-uncap,0.4,18.435001373291016,12.908697128295898,28.034448623657227
