mode,load,0_densenet169-16,1_mobilenet_v3_small-8,2_resnet34-8
mps-uncap,0.8,0.01239776611328125,0.012636184692382812,0.009775161743164062
mps-uncap,0.9,0.013113021850585938,0.012636184692382812,0.011205673217773438
mps-uncap,1.0,0.0133514404296875,0.01239776611328125,0.012874603271484375
mps-uncap,0.5,0.01239776611328125,0.009775161743164062,0.0095367431640625
mps-uncap,0.6,0.01239776611328125,0.01049041748046875,0.009059906005859375
mps-uncap,0.7,0.01239776611328125,0.009775161743164062,0.009775161743164062
mps-uncap,0.1,0.013589859008789062,0.011920928955078125,0.014066696166992188
mps-uncap,0.2,0.01239776611328125,0.011444091796875,0.01239776611328125
mps-uncap,0.3,0.012874603271484375,0.009775161743164062,0.011444091796875
mps-uncap,0.4,0.010251998901367188,0.010013580322265625,0.009775161743164062
