mode,load,0_densenet201-8,1_efficientnet_b6-2,2_mobilenet_v2-32
mps-uncap,0.8,28.288416862487793,26.735734939575195,10.822257995605483
mps-uncap,0.9,34.0075135231018,28.27908515930176,9.818887710571296
mps-uncap,1.0,33.840627670288086,28.153696060180664,9.561538696289062
mps-uncap,0.5,32.238044738769524,26.572833061218258,11.079711914062502
mps-uncap,0.6,27.57368087768555,26.521587371826183,11.61593437194824
mps-uncap,0.7,28.16594362258911,26.612265110015866,11.575374603271483
mps-uncap,0.1,42.38020420074468,32.265622615814216,12.396006584167468
mps-uncap,0.2,36.41670227050781,30.83546161651611,11.162650585174557
mps-uncap,0.3,33.50470066070558,29.05219078063965,11.575300693511961
mps-uncap,0.4,26.687393188476562,26.105165481567386,11.826887130737305
