mode,load,0_densenet201-32,1_inception_v3-2,2_resnet18-2
mps-uncap,0.8,30.245065689086914,8.389711380004883,1.9125938415527344
mps-uncap,0.9,31.896352767944336,8.687734603881836,1.924753189086914
mps-uncap,1.0,29.172420501708984,8.556604385375977,1.9125938415527344
mps-uncap,0.5,28.83124351501465,8.449792861938477,1.8954277038574219
mps-uncap,0.6,28.800487518310547,8.549690246582031,1.9183158874511719
mps-uncap,0.7,29.184341430664062,8.482217788696289,1.9288063049316406
mps-uncap,0.1,28.398990631103516,8.73422622680664,2.1255016326904297
mps-uncap,0.2,28.286218643188477,8.560657501220703,1.9633769989013672
mps-uncap,0.3,28.3048152923584,8.530139923095703,1.926422119140625
mps-uncap,0.4,28.551101684570312,8.525848388671875,1.901865005493164
