mode,load,0_efficientnet_b5-32,1_alexnet-16,2_resnet34-16
mps-uncap,0.6,48.882036209106445,6.084718704223634,21.681606769561768
mig,0.6,65.30730247497559,6.48076057434082,15.135102272033691
mps-uncap,0.7,51.127233505249016,6.194047927856445,22.532854080200195
mig,0.7,65.47280311584473,6.498570442199706,15.032634735107418
mps-uncap,0.8,51.239085197448716,6.141216754913337,23.006420135498047
mig,0.8,65.69452285766602,6.393504142761229,14.895658493041989
mps-uncap,0.9,49.21671867370605,6.821727752685542,23.21242094039917
mig,0.9,66.00024700164796,6.207261085510249,15.01084327697754
mps-uncap,1.0,53.13754081726074,6.636004447937008,22.178330421447754
mig,1.0,65.88778495788574,5.525052547454834,14.51563835144043
mps-uncap,1.1,49.42336082458496,6.866073608398438,23.48165512084961
mig,1.1,65.72527885437012,5.059158802032472,14.15605068206787
mps-uncap,1.2,53.23879241943359,6.213903427124023,24.336833953857425
mig,1.2,65.87691307067871,5.057668685913093,14.243288040161131
mps-uncap,1.3,53.16513538360596,6.210286617279055,24.622235298156742
mig,1.3,66.30224227905273,5.938596725463867,14.820098876953127
