mode,load,0_efficientnet_b5-32,1_densenet121-8,2_efficientnet_b6-8
mps-uncap,0.6,107.99764394760128,134.69627380371094,107.35111236572344
mig,0.6,257.7120852470404,62.2230339050293,168.23101043701172
mps-uncap,0.7,97.84140586853039,171.34330272674543,115.06610870361321
mig,0.7,300.4172849655151,101.73166990280097,199.3650412559506
mps-uncap,0.8,108.57540845870977,853.2684707641602,195.6263637542725
mig,0.8,445.9338188171395,124.56969976425175,278.6305475234986
mps-uncap,0.9,194.536509513855,12519.697985649107,619.5693492889403
mig,0.9,2165.006856918335,378.54058265686024,383.92648935318033
mps-uncap,1.0,172.81326532363892,28152.002305984497,573.7734127044678
mig,1.0,5939.827914237975,1312.2326540946963,1220.5435204505925
mps-uncap,1.1,202.70863056182856,37230.519886016846,3840.892562866211
mig,1.1,10523.541951179506,8478.321228027344,6077.011737823486
mps-uncap,1.2,1403.9878845214844,44709.329652786255,17808.267784118652
mig,1.2,15342.162380218506,13700.614867210388,17225.196158885956
mps-uncap,1.3,811.6134357452394,54047.34202384949,28285.225808620453
mig,1.3,22540.47185897827,20837.42322921753,19845.580711364742
