mode,load,0_efficientnet_b5-16,1_densenet121-4,2_mobilenet_v3_large-8
mps-uncap,0.6,68.91317367553704,85.52653789520262,38.78495693206785
mig,0.6,258.70869159698435,65.30196189880368,26.88681602478029
mps-uncap,0.7,88.02942752838136,190.2024173736572,74.21865463256827
mig,0.7,237.9974222183227,81.65244102478023,35.943202972412145
mps-uncap,0.8,115.33511877059955,410.50508975982626,195.9937858581543
mig,0.8,322.0353031158442,114.80897903442361,58.875274658203146
mps-uncap,0.9,119.36370134353638,4147.66829252243,861.3999009132385
mig,0.9,483.20177793502796,233.47137451171875,97.05025672912596
mps-uncap,1.0,160.1769256591795,9134.84375,12749.61939573288
mig,1.0,1827.8847432136533,524.4816064834595,458.7385940551755
mps-uncap,1.1,260.62282323837275,27165.83513736725,23731.10381364822
mig,1.1,9658.030974864958,7861.929657459258,8469.790387153625
mps-uncap,1.2,197.6397848129273,33512.04854249954,29962.55461215973
mig,1.2,15861.508941650392,14010.936727523804,15712.037992477417
mps-uncap,1.3,413.24659347534185,32529.425618648533,33886.49202346802
mig,1.3,21922.73657798767,21204.463469982147,20745.187940597534
