mode,load,0_efficientnet_b5-32,1_efficientnet_b5-32,2_efficientnet_b5-32,3_efficientnet_b5-32
mig,0.1,103.61194610595703,103.53672504425049,103.81698608398438,202.18884944915771
mig,0.2,103.45399379730225,103.64294052124023,103.86013984680176,202.3792266845703
mig,0.3,103.55889797210693,103.69241237640381,103.81555557250977,202.4325132369995
mig,0.4,103.62100601196289,103.84750366210938,103.85012626647949,202.40116119384766
mig,0.5,104.02584075927734,103.84702682495117,104.00032997131348,202.33988761901855
mig,0.6,103.83033752441406,103.93404960632324,104.04908657073975,202.6517391204834
mig,0.7,104.34544086456299,104.23493385314941,104.5680046081543,203.34434509277344
mig,0.8,105.20648956298828,105.11910915374756,105.3546667098999,205.039381980896
mig,0.9,105.67712783813477,105.84044456481934,105.87596893310547,205.56211471557617
mig,1.0,105.65781593322754,105.73387145996094,105.83710670471191,206.12609386444092
