mode,load,0_efficientnet_b5-2,1_efficientnet_b7-2,2_resnet152-2
mps-uncap,0.8,15.269279479980469,21.126747131347656,13.598203659057617
mps-uncap,0.9,14.978647232055664,21.33011817932129,13.508796691894531
mps-uncap,1.0,15.153765678405762,21.310091018676758,13.905525207519531
mps-uncap,0.5,15.365123748779297,21.340131759643555,13.678669929504395
mps-uncap,0.6,15.104532241821289,21.512746810913086,13.541817665100098
mps-uncap,0.7,15.32435417175293,21.42620086669922,13.686180114746094
mps-uncap,0.1,17.37380027770996,22.762537002563477,15.865564346313477
mps-uncap,0.2,15.896797180175781,21.409153938293457,13.813018798828125
mps-uncap,0.3,15.426397323608398,21.40069007873535,13.801813125610352
mps-uncap,0.4,15.163540840148926,21.662235260009766,13.530969619750977
