mode,load,0_efficientnet_b5-32,1_mobilenet_v2-16,2_resnet18-4
mps-uncap,0.8,39.59393501281738,16.81041717529297,12.24207878112793
mps-uncap,0.9,41.59665107727051,14.94908332824707,10.326623916625977
mps-uncap,1.0,42.08493232727051,14.993667602539062,11.765480041503906
mps-uncap,0.5,38.0704402923584,15.104532241821289,11.37399673461914
mps-uncap,0.6,38.61188888549805,14.920711517333984,11.506795883178711
mps-uncap,0.7,40.5278205871582,14.287948608398438,11.51585578918457
mps-uncap,0.1,33.96201133728027,13.991832733154297,9.94729995727539
mps-uncap,0.2,35.70818901062012,13.943910598754883,9.89389419555664
mps-uncap,0.3,36.30661964416504,13.922691345214844,10.758638381958008
mps-uncap,0.4,37.46795654296875,14.923334121704102,11.437654495239258
