mode,load,0_efficientnet_b5-32,1_mobilenet_v3_large-16,2_mobilenet_v3_small-8
mps-uncap,0.6,29.987812042236328,4.822015762329102,4.120349884033203
mig,0.6,60.69755554199219,7.836341857910156,4.023075103759766
mps-uncap,0.7,30.447006225585938,4.816532135009766,3.984689712524414
mig,0.7,60.79459190368652,7.838726043701172,4.007816314697266
mps-uncap,0.8,30.940771102905273,4.897356033325195,4.010438919067383
mig,0.8,60.81795692443848,7.836103439331055,4.009008407592773
mps-uncap,0.9,32.59563446044922,4.836797714233398,4.0607452392578125
mig,0.9,61.00869178771973,7.836103439331055,4.004478454589844
mps-uncap,1.0,31.223058700561523,4.829883575439453,4.117488861083984
mig,1.0,60.700416564941406,7.832527160644531,4.097700119018555
mps-uncap,1.1,32.707929611206055,4.987478256225586,4.00233268737793
mig,1.1,60.95409393310547,7.989645004272461,4.03141975402832
mps-uncap,1.2,31.125783920288086,4.853963851928711,4.127740859985352
mig,1.2,60.9283447265625,7.836103439331055,4.06646728515625
mps-uncap,1.3,32.75489807128906,4.898309707641602,4.062414169311523
mig,1.3,60.80055236816406,7.827520370483398,4.071474075317383
