mode,load,0_efficientnet_b5-2,1_mobilenet_v3_large-32,2_resnet101-8
mps-uncap,0.8,8.626222610473633,4.851341247558594,6.287813186645508
mps-uncap,0.9,8.744955062866211,4.824399948120117,6.288051605224609
mps-uncap,1.0,8.853912353515625,4.849910736083984,7.857561111450195
mps-uncap,0.5,8.366584777832031,4.84156608581543,6.303071975708008
mps-uncap,0.6,8.783102035522461,4.824161529541016,6.241798400878906
mps-uncap,0.7,8.60905647277832,4.843950271606445,6.287097930908203
mps-uncap,0.1,8.629798889160156,4.848480224609375,6.320953369140625
mps-uncap,0.2,8.885622024536133,4.8465728759765625,6.267786026000977
mps-uncap,0.3,8.694648742675781,4.83250617980957,6.2465667724609375
mps-uncap,0.4,8.738279342651367,4.82630729675293,6.290674209594727
