mode,load,0_efficientnet_b5-16,1_mobilenet_v3_small-32,2_vgg11-32
mps-uncap,0.8,70.22476196289062,25.147557258605957,15.448331832885742
mps-uncap,0.9,79.7795057296753,23.440432548522953,15.59290885925293
mps-uncap,1.0,72.03483581542969,27.893733978271484,15.78378677368164
mps-uncap,0.5,49.76196289062501,16.575098037719727,14.556217193603516
mps-uncap,0.6,60.40492057800294,18.7197208404541,14.720726013183594
mps-uncap,0.7,64.91649150848389,22.622346878051758,15.146327018737793
mps-uncap,0.1,38.25135231018067,10.73000431060791,17.452478408813477
mps-uncap,0.2,37.10055351257324,14.58706855773926,14.603662490844727
mps-uncap,0.3,36.006927490234375,15.250587463378906,14.597892761230469
mps-uncap,0.4,45.754289627075224,15.207195281982427,14.515304565429688
