mode,load,0_efficientnet_b5-32,1_resnet101-8,2_resnet50-16
mps-uncap,0.8,54.93640899658203,42.26350784301758,29.569625854492188
mps-uncap,0.9,60.32371520996094,47.573089599609375,27.1914005279541
mps-uncap,1.0,60.873985290527344,42.5257682800293,28.501510620117188
mps-uncap,0.5,54.574012756347656,38.724422454833984,28.557300567626953
mps-uncap,0.6,57.80625343322754,38.58613967895508,29.147624969482422
mps-uncap,0.7,55.171966552734375,42.04607009887695,29.0830135345459
mps-uncap,0.1,56.554555892944336,46.80967330932617,35.96377372741699
mps-uncap,0.2,55.67121505737305,33.271074295043945,29.395341873168945
mps-uncap,0.3,50.50158500671387,38.00320625305176,28.387069702148438
mps-uncap,0.4,54.810285568237305,35.788536071777344,28.610706329345703
