mode,load,0_efficientnet_b5-32,1_squeezenet1_1-16,2_vgg13-32
mps-uncap,0.8,172.95035269937767,555.6246081961881,1329.2469355644412
mps-uncap,0.9,204.21582557906422,646.7431087446828,1450.4307630194137
mps-uncap,1.0,227.99413852384197,676.5534910547394,1438.6553134060878
mps-uncap,0.5,126.38799896190325,347.9492418017083,794.6047842864739
mps-uncap,0.6,132.82131479636934,398.72524547152415,957.9179669532513
mps-uncap,0.7,177.69754082255707,488.4125458731311,1128.8378644276581
mps-uncap,0.1,28.480661865019623,72.74274102034505,166.61998861045828
mps-uncap,0.2,49.51918615633762,146.9689430648553,328.35473496405945
mps-uncap,0.3,70.75995566510929,217.16291496046784,507.4218505379392
mps-uncap,0.4,91.7868605741129,255.80517551091486,677.8444439071395
