mode,load,0_efficientnet_b6-8,1_efficientnet_b6-8,2_efficientnet_b6-8,3_efficientnet_b6-8
mig,0.1,35.400390625,35.54034233093262,35.5069637298584,69.93365287780762
mig,0.2,35.37392616271973,35.50219535827637,35.49027442932129,69.95511054992676
mig,0.3,35.390377044677734,35.52532196044922,35.53199768066406,69.97084617614746
mig,0.4,35.38656234741211,35.523176193237305,35.49933433532715,69.90981101989746
mig,0.5,35.40468215942383,35.509347915649414,35.5067253112793,69.97156143188477
mig,0.6,35.384178161621094,35.55440902709961,35.509347915649414,69.90909576416016
mig,0.7,35.39276123046875,35.51483154296875,35.52556037902832,70.00446319580078
mig,0.8,35.42780876159668,35.55941581726074,35.49909591674805,70.00350952148438
mig,0.9,35.4609489440918,35.51459312438965,35.54344177246094,70.07265090942383
mig,1.0,35.49361228942871,35.70246696472168,35.807132720947266,70.3730583190918
