mode,load,0_efficientnet_b6-16,1_efficientnet_b6-2,2_inception_v3-4
mps-uncap,0.8,223.4974145889276,160.29875278472915,69.64325904846191
mps-uncap,0.9,470.74793577194214,451.7742156982423,129.85175848007194
mps-uncap,1.0,2128.509407043457,1436.3052606582642,679.680461883545
mps-uncap,0.5,74.89544868469234,52.14038610458373,34.006786346435504
mps-uncap,0.6,90.84575653076168,71.10432624816897,37.2315716743469
mps-uncap,0.7,141.4237380027771,126.5188360214233,46.09466552734378
mps-uncap,0.1,41.638140678405755,42.95175552368163,24.12928104400635
mps-uncap,0.2,45.71079730987548,45.18644809722903,28.852310180664055
mps-uncap,0.3,51.69192552566535,41.750402450561516,31.39989376068117
mps-uncap,0.4,71.94631099700928,46.035144329071045,30.019736289978017
