mode,load,0_efficientnet_b6-2,1_inception_v3-32,2_resnet18-16
mps-uncap,0.8,31.14175796508789,27.883291244506836,16.53313636779785
mps-uncap,0.9,33.10251235961914,32.07540512084961,19.345521926879883
mps-uncap,1.0,37.076711654663086,29.345035552978516,19.381046295166016
mps-uncap,0.5,26.725292205810547,25.076866149902344,11.897087097167969
mps-uncap,0.6,26.406526565551758,22.893428802490234,11.554479598999023
mps-uncap,0.7,33.8594913482666,24.148941040039062,12.771844863891602
mps-uncap,0.1,40.23909568786621,26.039838790893555,11.525392532348633
mps-uncap,0.2,34.69276428222656,22.73273468017578,18.31364631652832
mps-uncap,0.3,31.942129135131836,21.9118595123291,14.005422592163086
mps-uncap,0.4,32.651424407958984,24.831295013427734,18.134593963623047
