mode,load,0_efficientnet_b6-4,1_inception_v3-4,2_vgg11-32
mps-uncap,0.8,58.38513374328613,44.110774993896484,20.572662353515625
mps-uncap,0.9,60.462236404418945,39.97969627380371,23.539066314697266
mps-uncap,1.0,59.47995185852051,37.834882736206055,20.97153663635254
mps-uncap,0.5,52.1092414855957,33.471107482910156,18.545150756835938
mps-uncap,0.6,58.80570411682129,37.02902793884277,17.18592643737793
mps-uncap,0.7,55.31930923461914,43.13778877258301,19.44708824157715
mps-uncap,0.1,49.91626739501953,28.557538986206055,23.255586624145508
mps-uncap,0.2,48.250436782836914,26.619434356689453,17.03929901123047
mps-uncap,0.3,41.1686897277832,32.16838836669922,20.46036720275879
mps-uncap,0.4,47.69587516784668,31.073808670043945,22.50194549560547
