mode,load,0_efficientnet_b6-8,1_mobilenet_v3_small-32,2_squeezenet1_0-8
mps-uncap,0.8,17.4257755279541,4.215240478515625,1.9059181213378906
mps-uncap,0.9,18.306732177734375,4.320621490478516,1.9598007202148438
mps-uncap,1.0,17.93670654296875,4.700660705566406,3.042459487915039
mps-uncap,0.5,17.277956008911133,4.099845886230469,1.8334388732910156
mps-uncap,0.6,17.238616943359375,4.173517227172852,1.8372535705566406
mps-uncap,0.7,17.3187255859375,4.164457321166992,1.840829849243164
mps-uncap,0.1,17.91238784790039,4.362821578979492,2.0694732666015625
mps-uncap,0.2,17.25292205810547,4.204750061035156,2.0771026611328125
mps-uncap,0.3,17.359256744384766,4.139423370361328,1.9290447235107422
mps-uncap,0.4,17.19212532043457,4.063129425048828,1.8529891967773438
