mode,load,0_efficientnet_b6-4,1_resnet101-4,2_squeezenet1_0-2
mps-uncap,0.6,17.507314682006836,9.05156135559082,1.7447471618652344
mig,0.6,17.542362213134766,10.787248611450195,1.6891956329345703
mps-uncap,0.7,17.445802688598633,9.079933166503906,1.7096996307373047
mig,0.7,17.324209213256836,10.790109634399414,1.7066001892089844
mps-uncap,0.8,17.679452896118164,8.91566276550293,1.7256736755371094
mig,0.8,17.358779907226562,10.753870010375977,1.7261505126953125
mps-uncap,0.9,17.672300338745117,8.941650390625,1.7211437225341797
mig,0.9,17.311573028564453,10.7421875,1.7120838165283203
mps-uncap,1.0,17.474889755249023,8.980512619018555,1.7473697662353516
mig,1.0,17.34614372253418,10.774612426757812,1.7423629760742188
mps-uncap,1.1,17.6393985748291,9.1094970703125,1.7061233520507812
mig,1.1,17.289400100708008,10.752677917480469,1.7061233520507812
mps-uncap,1.2,17.48371124267578,8.940935134887695,1.7108917236328125
mig,1.2,17.009496688842773,10.74981689453125,1.7271041870117188
mps-uncap,1.3,17.751693725585938,8.954524993896484,1.7561912536621094
mig,1.3,17.075300216674805,10.753154754638672,1.722097396850586
