mode,load,0_efficientnet_b6-4,1_resnet50-4,2_vgg11-2
mps-uncap,0.8,160.6733798980713,45.70150375366211,26.749372482299805
mps-uncap,0.9,172.61743545532227,112.57624626159668,45.17626762390137
mps-uncap,1.0,581.6998481750488,284.43002700805664,93.88422966003418
mps-uncap,0.5,56.95843696594238,24.846553802490234,8.792638778686523
mps-uncap,0.6,48.55489730834961,34.44480895996094,13.824462890625
mps-uncap,0.7,98.92940521240234,33.518075942993164,381.3138008117676
mps-uncap,0.1,23.469209671020508,12.311697006225586,2.551555633544922
mps-uncap,0.2,29.877901077270508,13.721704483032227,3.8192272186279297
mps-uncap,0.3,44.62909698486328,17.63129234313965,4.635095596313477
mps-uncap,0.4,51.593780517578125,20.199298858642578,6.297111511230469
