mode,load,0_efficientnet_b7-2,1_efficientnet_b7-2
mig,0.1,20.78843116760254,21.483659744262695
mig,0.2,20.83420753479004,20.65420150756836
mig,0.3,21.43406867980957,20.621776580810547
mig,0.4,20.661115646362305,21.071672439575195
mig,0.5,21.009206771850586,21.025657653808594
mig,0.6,21.234750747680664,21.09360694885254
mig,0.7,20.82037925720215,21.344661712646484
mig,0.8,21.04330062866211,21.708011627197266
mig,0.9,21.62027359008789,21.22807502746582
mig,1.0,21.416187286376953,21.39592170715332
