mode,load,0_efficientnet_b7-32,1_mobilenet_v3_large-4,2_vgg11-8
mps-uncap,0.8,212.5110626220703,40.65642356872558,22.539615631103516
mps-uncap,0.9,352.73103713989263,139.44530487060547,66.8541193008423
mps-uncap,1.0,1678.048324584962,839.1879081726082,95.51351070404054
mps-uncap,0.5,105.55305480957033,18.62931251525879,10.751771926879883
mps-uncap,0.6,162.992000579834,22.677707672119144,14.445042610168459
mps-uncap,0.7,192.76189804077148,23.55175018310547,17.599725723266605
mps-uncap,0.1,54.123830795288086,7.897782325744628,3.67112159729004
mps-uncap,0.2,64.70928192138672,11.118364334106449,5.722427368164063
mps-uncap,0.3,84.24062728881836,12.381362915039064,6.522774696350098
mps-uncap,0.4,98.29282760620117,14.480972290039066,8.59997272491455
