mode,load,0_efficientnet_b7-8,1_mobilenet_v3_small-32,2_squeezenet1_1-16
mps-uncap,0.8,21.09074592590332,4.103422164916992,2.143383026123047
mps-uncap,0.9,21.126508712768555,4.085063934326172,2.3195743560791016
mps-uncap,1.0,21.898269653320312,4.211664199829102,2.6853084564208984
mps-uncap,0.5,20.981550216674805,4.094362258911133,2.116680145263672
mps-uncap,0.6,20.809412002563477,4.065990447998047,2.117633819580078
mps-uncap,0.7,20.806074142456055,4.103660583496094,2.132892608642578
mps-uncap,0.1,20.917177200317383,4.162073135375977,2.4552345275878906
mps-uncap,0.2,21.213531494140625,4.1217803955078125,2.2928714752197266
mps-uncap,0.3,20.817995071411133,4.050493240356445,2.1576881408691406
mps-uncap,0.4,20.917892456054688,4.071235656738281,2.1271705627441406
