mode,load,0_inception_v3-4,1_inception_v3-4,2_inception_v3-4,3_inception_v3-4
mig,0.1,61.3100887333177,63.72090353780667,62.20334399197692,36.332700620473844
mig,0.2,118.70023520797196,125.42757318764166,129.92493174453477,76.22701549723917
mig,0.3,193.75859160848654,187.2148370802094,190.43307942796673,111.92108813690739
mig,0.4,253.72372353059833,240.4467955697242,245.75109698482288,147.42313029320496
mig,0.5,319.3471237474027,311.0755934935802,322.8278864093063,190.58355926714583
mig,0.6,372.45729751442866,368.30519454777317,373.9784465772132,232.01582222683354
mig,0.7,443.36870455148386,437.2360901689168,437.5759021494607,260.21157634433956
mig,0.8,502.13261738737555,497.63909502177984,501.7678199223189,303.21260815179824
mig,0.9,564.8253187028143,554.6887055197687,575.3264285533983,332.65368794460227
mig,1.0,626.4463902766504,621.9258208574889,626.2689039697958,374.06233343282884
