mode,load,0_inception_v3-16,1_inception_v3-32,2_mobilenet_v3_large-2
mps-uncap,0.8,15.418767929077148,16.31021499633789,7.658243179321289
mps-uncap,0.9,14.344930648803711,15.365839004516602,7.76219367980957
mps-uncap,1.0,15.769720077514648,16.82877540588379,7.718086242675781
mps-uncap,0.5,14.92929458618164,17.859935760498047,8.479833602905273
mps-uncap,0.6,14.487028121948242,14.881134033203125,8.432865142822266
mps-uncap,0.7,14.626264572143555,15.348196029663086,7.777690887451172
mps-uncap,0.1,14.68801498413086,14.025449752807617,9.920835494995117
mps-uncap,0.2,15.554428100585938,14.399528503417969,8.670330047607422
mps-uncap,0.3,15.271902084350586,14.770984649658203,8.691072463989258
mps-uncap,0.4,15.677452087402344,15.21921157836914,8.679866790771484
