mode,load,0_inception_v3-16,1_mobilenet_v2-4,2_squeezenet1_0-16
mps-uncap,0.8,8.565187454223633,4.029989242553711,3.182649612426758
mps-uncap,0.9,8.753061294555664,4.115104675292969,3.300189971923828
mps-uncap,1.0,10.188102722167969,4.051446914672852,3.396749496459961
mps-uncap,0.5,8.546590805053711,4.052162170410156,3.0968189239501953
mps-uncap,0.6,8.574962615966797,4.024744033813477,3.094196319580078
mps-uncap,0.7,8.54945182800293,4.011392593383789,3.108978271484375
mps-uncap,0.1,9.158849716186523,4.499912261962891,3.3826828002929688
mps-uncap,0.2,8.777618408203125,4.070281982421875,3.265857696533203
mps-uncap,0.3,8.46242904663086,3.990650177001953,3.2775402069091797
mps-uncap,0.4,8.554220199584961,4.095792770385742,3.1173229217529297
