mode,load,0_inception_v3-8,1_mobilenet_v3_large-16,2_vgg16-2
mps-uncap,0.8,523.6409339525171,2095.955192190363,459.16134526444046
mps-uncap,0.9,573.9019820271208,2330.5698569663564,522.3567502527092
mps-uncap,1.0,542.7999324936336,2542.296651063309,539.8732740682534
mps-uncap,0.5,314.19239213807145,1302.1623961691662,289.170331062109
mps-uncap,0.6,380.52047745398403,1553.22907347065,345.5934184706396
mps-uncap,0.7,468.5235350452393,1814.7474999575945,401.5140567300933
mps-uncap,0.1,62.918310654025305,261.3839803943927,56.504075159620356
mps-uncap,0.2,124.66811760208907,540.0080476709927,114.84521210647395
mps-uncap,0.3,196.60903211515037,780.6189927864197,176.45957249101207
mps-uncap,0.4,259.41135483950535,1019.5570348569232,234.67310888136782
