mode,load,0_inception_v3-32,1_mobilenet_v3_small-4,2_vgg16-8
mps-uncap,0.8,20.801067352294922,4.951238632202148,6.063222885131836
mps-uncap,0.9,28.73969078063965,5.9195756912231445,6.305098533630371
mps-uncap,1.0,29.198646545410156,7.116556167602539,6.62386417388916
mps-uncap,0.5,14.653444290161133,5.6525468826293945,5.345344543457031
mps-uncap,0.6,15.381693840026855,5.473971366882324,5.42759895324707
mps-uncap,0.7,18.58830451965332,5.145430564880371,5.645275115966797
mps-uncap,0.1,12.492179870605469,6.147146224975586,5.268335342407227
mps-uncap,0.2,13.472795486450195,5.919456481933594,5.275964736938477
mps-uncap,0.3,13.668417930603027,5.936741828918457,5.260229110717773
mps-uncap,0.4,14.479517936706543,6.028652191162109,5.299925804138184
