mode,load,0_inception_v3-4,1_resnet101-32,2_resnet34-32
mps-uncap,0.8,8.640527725219727,19.650936126708984,6.896495819091797
mps-uncap,0.9,8.376121520996094,20.67089080810547,7.024526596069336
mps-uncap,1.0,8.535146713256836,22.092580795288086,7.141828536987305
mps-uncap,0.5,8.424997329711914,19.56486701965332,6.780147552490234
mps-uncap,0.6,8.528470993041992,19.665002822875977,6.76274299621582
mps-uncap,0.7,8.35275650024414,19.679784774780273,6.591081619262695
mps-uncap,0.1,8.925676345825195,19.572019577026367,6.819963455200195
mps-uncap,0.2,8.568048477172852,19.465923309326172,6.823062896728516
mps-uncap,0.3,8.554935455322266,19.490957260131836,6.798267364501953
mps-uncap,0.4,8.5906982421875,19.55699920654297,6.789684295654297
