mode,load,0_inception_v3-8,1_resnet101-8,2_squeezenet1_0-8
mps-uncap,0.8,572.6795697617988,469.27426459957314,1954.2516530092246
mps-uncap,0.9,645.7942844164587,551.5199662087002,2146.880767279547
mps-uncap,1.0,691.4408905032273,613.9570043163014,2479.343033713799
mps-uncap,0.5,362.61728273571384,282.4416902775972,1233.1368271035744
mps-uncap,0.6,422.7876073497285,358.12130013674096,1449.7794906577678
mps-uncap,0.7,503.3241599777248,420.29722494454916,1706.2698326296552
mps-uncap,0.1,73.16891262948508,56.69029699792339,245.4672896742196
mps-uncap,0.2,140.10797162314964,120.2712050596843,494.49779895543713
mps-uncap,0.3,220.64564841826925,171.24147127915964,738.2845614070646
mps-uncap,0.4,288.34645470212763,235.05826817696797,982.1077987041232
