mode,load,0_inception_v3-32,1_resnet152-32,2_resnet152-32
mps-uncap,0.8,260.81914901733404,412.6887798309327,302.1627902984619
mps-uncap,0.9,623.7326145172123,3817.6294803619385,1051.8625974655151
mps-uncap,1.0,5758.7456464767465,5101.512145996094,5263.746786117554
mps-uncap,0.5,47.411203384399414,85.50870418548585,93.60170364379883
mps-uncap,0.6,67.3269510269165,118.51668357849124,106.07168674468996
mps-uncap,0.7,90.9449577331543,130.71527481079102,127.55727767944336
mps-uncap,0.1,25.416707992553714,47.603464126586914,47.052240371704094
mps-uncap,0.2,29.00962829589844,49.538564682006836,49.79896545410156
mps-uncap,0.3,33.208250999450684,59.652328491210945,56.12630844116212
mps-uncap,0.4,41.62888526916503,70.43147087097171,67.50087738037111
