mode,load,0_inception_v3-8,1_resnet152-8,2_vgg16-32
mps-uncap,0.8,24.875164031982422,38.07830810546875,19.160866737365723
mps-uncap,0.9,37.477731704711914,68.98355484008789,19.733905792236328
mps-uncap,1.0,44.84248161315918,79.4382095336914,20.13564109802246
mps-uncap,0.5,12.302398681640625,17.174482345581055,17.910003662109375
mps-uncap,0.6,12.19332218170166,17.859220504760742,18.250107765197754
mps-uncap,0.7,15.348434448242188,26.193737983703613,18.685460090637207
mps-uncap,0.1,12.150049209594727,18.229007720947266,17.418861389160156
mps-uncap,0.2,12.69078254699707,17.415165901184082,17.416834831237793
mps-uncap,0.3,12.796640396118164,17.807483673095703,17.457008361816406
mps-uncap,0.4,12.216806411743164,17.316341400146484,17.603158950805664
